class,base_importance,hand_sensitive,x_weight,y_weight
bag,0,False,0,0
books,4,False,2,2
bookshelf,2,False,1,1
calendar,2,False,1,1
correction-tape,3,True,1,1
cosmetic,1,False,1,1
drink,1,True,1,2
earphone,3,False,1,2
eraser,3,True,1,1
food,1,False,1,1
gamepad,2,False,1,1
glasses,2,False,1,1
glue,3,True,1,2
goods,2,False,1,1
headset,3,False,1,1
keyboard-pc,4,False,3,2
laptop,4,False,2,2
mic-pc,3,False,1,1
monitor-pc,2,False,3,1
mouse-pc,3,True,2,2
organizer,2,False,2,1
paper,1,False,2,1
pen,3,True,2,2
pen holder,2,True,1,1
pencil case,3,True,1,1
phone,3,False,1,1
photo,2,False,1,1
post-it,1,True,2,1
ruler,3,True,1,1
scissors,3,True,1,1
snack,1,False,1,1
speakers-pc,2,False,2,1
stapler,3,True,1,1
stopwatch,2,False,1,1
tablet-pc,3,False,2,1
tape,3,True,1,1
tissue,1,False,1,1
tower-pc,2,False,1,1
trash,0,False,0,0
watch,2,False,1,1
