epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.1,1.40509,3.65753,1.67816,0,0,0,0,nan,nan,nan,0.0680658,0.000987654,0.000987654
2,296.014,1.66057,3.52597,1.87764,0.03146,0.02342,0.00309,0.00136,3.11078,inf,7.20073,0.0357286,0.00198372,0.00198372
3,384.376,1.62676,3.46656,1.85061,0.27717,0.09329,0.01623,0.00791,2.1902,14.7961,2.99733,0.00338735,0.00297582,0.00297582
4,468.147,1.53591,3.26257,1.76533,0.38023,0.08929,0.03708,0.02069,1.90819,4.90834,2.46555,0.00298218,0.00298218,0.00298218
5,550.61,1.45735,3.0701,1.70856,0.42756,0.12033,0.06358,0.03691,1.72999,4.34811,2.2788,0.00297624,0.00297624,0.00297624
6,634.542,1.39219,2.88428,1.64634,0.41881,0.09709,0.05946,0.03654,1.58964,4.20716,1.98605,0.0029703,0.0029703,0.0029703
7,716.933,1.35698,2.78576,1.62273,0.33576,0.19903,0.12531,0.07999,1.40591,3.59769,1.78852,0.00296436,0.00296436,0.00296436
8,800.32,1.33507,2.65548,1.60553,0.37244,0.2281,0.15904,0.10847,1.29026,3.26061,1.67122,0.00295842,0.00295842,0.00295842
9,882.753,1.28869,2.58812,1.56168,0.57554,0.24087,0.25803,0.18993,1.19056,2.52843,1.55507,0.00295248,0.00295248,0.00295248
10,965.549,1.27139,2.5027,1.53667,0.53048,0.26067,0.2804,0.20544,1.15265,2.38403,1.51455,0.00294654,0.00294654,0.00294654
11,1048.04,1.21803,2.36877,1.49664,0.5055,0.25225,0.27318,0.20011,1.17599,2.63742,1.558,0.0029406,0.0029406,0.0029406
12,1130.12,1.20958,2.3306,1.50412,0.53465,0.35948,0.37128,0.28297,1.04415,2.13021,1.38375,0.00293466,0.00293466,0.00293466
13,1212.62,1.21406,2.29067,1.49001,0.48727,0.31661,0.32163,0.24436,1.09783,2.2482,1.45755,0.00292872,0.00292872,0.00292872
14,1294.97,1.20226,2.27385,1.49221,0.54647,0.35903,0.38142,0.28168,1.04074,1.99071,1.40292,0.00292278,0.00292278,0.00292278
15,1376.98,1.19204,2.2297,1.47945,0.39688,0.35694,0.33371,0.24381,1.13864,2.13282,1.49577,0.00291684,0.00291684,0.00291684
16,1458.97,1.1596,2.16351,1.4484,0.54493,0.35865,0.37388,0.28734,1.05702,2.1116,1.41416,0.0029109,0.0029109,0.0029109
17,1541.35,1.14943,2.12087,1.44395,0.50739,0.392,0.40149,0.30908,1.03469,1.90889,1.38214,0.00290496,0.00290496,0.00290496
18,1623.58,1.13604,2.04639,1.42707,0.59621,0.37277,0.3949,0.30213,0.99615,1.98477,1.37096,0.00289902,0.00289902,0.00289902
19,1705.76,1.12484,2.03769,1.42652,0.62164,0.42921,0.45718,0.35883,0.96454,1.78014,1.33893,0.00289308,0.00289308,0.00289308
20,1788.23,1.12326,2.01819,1.41983,0.53195,0.41412,0.43659,0.34173,0.976,1.83707,1.33415,0.00288714,0.00288714,0.00288714
21,1870.32,1.09962,1.95988,1.39926,0.55506,0.4055,0.42273,0.3284,0.96834,1.83829,1.33562,0.0028812,0.0028812,0.0028812
22,1952.6,1.10545,1.91827,1.39595,0.58844,0.45569,0.48175,0.38153,0.92503,1.69948,1.28912,0.00287526,0.00287526,0.00287526
23,2035.12,1.09346,1.9271,1.3979,0.5365,0.41445,0.42434,0.32551,1.02885,1.92957,1.39644,0.00286932,0.00286932,0.00286932
24,2117.04,1.08471,1.8859,1.39358,0.61488,0.43445,0.49553,0.39228,0.91963,1.64166,1.29788,0.00286338,0.00286338,0.00286338
25,2199.1,1.06832,1.83365,1.37021,0.65851,0.46105,0.51149,0.40371,0.91585,1.57567,1.2927,0.00285744,0.00285744,0.00285744
26,2281.62,1.05453,1.79498,1.36088,0.59481,0.48066,0.51306,0.40133,0.92363,1.57586,1.27681,0.0028515,0.0028515,0.0028515
27,2363.79,1.07274,1.80037,1.3784,0.66731,0.49806,0.55604,0.44504,0.87036,1.43277,1.24808,0.00284556,0.00284556,0.00284556
28,2445.77,1.04439,1.75371,1.35675,0.61659,0.49185,0.52766,0.41561,0.90044,1.53184,1.27828,0.00283962,0.00283962,0.00283962
29,2527.7,1.04249,1.73786,1.3551,0.57154,0.50528,0.52111,0.41511,0.90192,1.53039,1.26452,0.00283368,0.00283368,0.00283368
30,2609.61,1.03516,1.73387,1.35579,0.61217,0.48493,0.52729,0.4155,0.89171,1.51442,1.25567,0.00282774,0.00282774,0.00282774
31,2691.54,1.0287,1.66447,1.33506,0.65828,0.44271,0.51116,0.40757,0.88612,1.59761,1.27443,0.0028218,0.0028218,0.0028218
32,2773.29,1.01487,1.68836,1.33449,0.6554,0.49094,0.5569,0.44606,0.86826,1.40534,1.23098,0.00281586,0.00281586,0.00281586
33,2855.63,1.01863,1.63355,1.33076,0.6479,0.49912,0.55713,0.44003,0.87078,1.44635,1.24576,0.00280992,0.00280992,0.00280992
34,2937.48,1.00943,1.619,1.32527,0.59347,0.48073,0.5323,0.42543,0.89297,1.47736,1.25937,0.00280398,0.00280398,0.00280398
35,3019.31,1.00085,1.59096,1.31687,0.67573,0.47921,0.54835,0.44338,0.86943,1.4457,1.24655,0.00279804,0.00279804,0.00279804
36,3101.34,1.00562,1.58218,1.32129,0.66799,0.5157,0.57648,0.46182,0.85626,1.37388,1.232,0.0027921,0.0027921,0.0027921
37,3183.2,0.96647,1.5401,1.3,0.62726,0.54138,0.59098,0.47507,0.8335,1.33988,1.21546,0.00278616,0.00278616,0.00278616
38,3265.33,0.98703,1.55265,1.30761,0.71257,0.50699,0.57617,0.46629,0.85756,1.37528,1.23415,0.00278022,0.00278022,0.00278022
39,3347.15,0.98641,1.53517,1.299,0.54424,0.39067,0.42952,0.33505,0.94881,1.84069,1.33089,0.00277428,0.00277428,0.00277428
40,3428.94,0.98405,1.52054,1.30346,0.68981,0.49898,0.58228,0.47091,0.83982,1.32792,1.2183,0.00276834,0.00276834,0.00276834
41,3510.51,0.97847,1.5212,1.31345,0.67213,0.55588,0.61531,0.49433,0.82654,1.27757,1.20941,0.0027624,0.0027624,0.0027624
42,3592.65,0.96648,1.47263,1.28977,0.7466,0.55799,0.62259,0.50531,0.81428,1.26097,1.19348,0.00275646,0.00275646,0.00275646
43,3675,0.95511,1.45662,1.28258,0.68644,0.55691,0.61424,0.49742,0.81287,1.25111,1.19158,0.00275052,0.00275052,0.00275052
44,3756.95,0.96359,1.4482,1.28993,0.72499,0.55744,0.63024,0.51176,0.81676,1.20791,1.19804,0.00274458,0.00274458,0.00274458
45,3839.15,0.93837,1.40603,1.27509,0.6431,0.51646,0.55475,0.44404,0.81799,1.38802,1.1999,0.00273864,0.00273864,0.00273864
46,3921.13,0.95262,1.40425,1.27392,0.6722,0.57048,0.63108,0.50749,0.80615,1.18573,1.18507,0.0027327,0.0027327,0.0027327
47,4003.08,0.95342,1.4082,1.27369,0.69595,0.58589,0.63717,0.51377,0.81096,1.16893,1.1928,0.00272676,0.00272676,0.00272676
48,4084.85,0.94243,1.36993,1.27485,0.721,0.5592,0.63201,0.51385,0.78518,1.15076,1.1687,0.00272082,0.00272082,0.00272082
49,4166.89,0.91892,1.34111,1.25896,0.75238,0.58715,0.65865,0.53675,0.77963,1.11227,1.16439,0.00271488,0.00271488,0.00271488
50,4249,0.92333,1.33355,1.25422,0.70166,0.57271,0.64628,0.51956,0.79307,1.15416,1.17064,0.00270894,0.00270894,0.00270894
51,4330.58,0.89986,1.31015,1.25021,0.74027,0.57652,0.65654,0.53745,0.77496,1.11589,1.16432,0.002703,0.002703,0.002703
52,4412.54,0.91935,1.34538,1.26225,0.70765,0.58956,0.65134,0.52838,0.78364,1.13619,1.17656,0.00269706,0.00269706,0.00269706
53,4494.24,0.91748,1.33783,1.2572,0.72282,0.58581,0.64411,0.52448,0.78698,1.16756,1.16811,0.00269112,0.00269112,0.00269112
54,4575.75,0.90389,1.27666,1.24776,0.7178,0.59619,0.65696,0.53363,0.7809,1.10593,1.16445,0.00268518,0.00268518,0.00268518
55,4657.39,0.91023,1.29151,1.24344,0.70112,0.59576,0.66052,0.54082,0.76758,1.08329,1.15802,0.00267924,0.00267924,0.00267924
56,4739.39,0.89493,1.27391,1.23435,0.76528,0.59299,0.67823,0.55369,0.75323,1.04541,1.14937,0.0026733,0.0026733,0.0026733
57,4821.32,0.89443,1.23494,1.22911,0.74812,0.618,0.67535,0.55559,0.75368,1.0509,1.15247,0.00266736,0.00266736,0.00266736
